open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1710323100000,73465.00,73524.60,73220.00,73389.20,3423.700,1710323999999,251033826.77740,52898,1552.744,113860925.25150,0
1710324000000,73389.30,73484.00,73196.50,73450.30,2274.964,1710324899999,166855989.10750,41713,1073.910,78788234.78160,0
1710324900000,73450.40,73485.00,73260.90,73337.30,1463.741,1710325799999,107418920.89220,28472,746.758,54805065.35730,0
1710325800000,73337.30,73385.50,73224.00,73238.10,1428.898,1710326699999,104717274.00220,25187,668.892,49019594.19530,0
1710326700000,73238.00,73417.10,73238.00,73334.50,1969.008,1710327599999,144413402.59600,26174,1202.231,88165850.29000,0
1710327600000,73334.50,73556.30,73325.80,73551.60,2743.531,1710328499999,201519738.41160,34048,1764.356,129606684.75080,0
1710328500000,73551.60,73551.70,73318.10,73318.20,1858.289,1710329399999,136451193.18380,28450,762.430,55991443.31100,0
1710329400000,73318.20,73378.80,73225.30,73309.00,1432.786,1710330299999,105027162.47580,24541,646.541,47395741.50560,0
1710330300000,73309.00,73380.00,73122.20,73149.90,2518.471,1710331199999,184347117.29860,38079,953.070,69771283.85190,0
1710331200000,73149.80,73271.80,73149.80,73252.60,1723.972,1710332099999,126216136.68120,27768,984.548,72079958.96460,0
1710332100000,73252.70,73276.90,73020.00,73080.00,2244.353,1710332999999,164158787.12480,35640,966.873,70727732.10620,0
1710333000000,73080.00,73114.60,72525.50,72814.30,10770.615,1710333899999,783689142.94098,145491,4988.618,362979936.91980,0
1710333900000,72814.30,73114.80,72743.40,72875.90,5027.341,1710334799999,366874689.54580,77672,2500.028,182448188.37360,0
1710334800000,72875.90,73124.60,72612.80,73006.50,4083.565,1710335699999,297716620.81430,65395,2190.422,159738991.87120,0
1710335700000,73006.40,73093.00,72722.50,72790.10,2374.474,1710336599999,173081287.01680,43766,1070.029,78009049.76280,0
1710336600000,72790.20,72886.90,72344.10,72627.60,9139.195,1710337499999,663331594.36288,128607,4433.969,321868576.79100,0
1710337500000,72627.70,72680.00,71671.10,72240.00,15724.055,1710338399999,1133851122.53436,208146,7047.851,508278258.25650,0
1710338400000,72239.90,72972.10,72050.00,72735.40,12713.878,1710339299999,922707618.47672,166231,6931.760,503097487.67932,0
1710339300000,72735.40,72887.90,72519.00,72625.30,5212.862,1710340199999,378813236.25400,76674,2600.880,189029921.54920,0
1710340200000,72625.30,72724.40,72236.40,72617.70,6746.649,1710341099999,488753990.70248,104652,3409.448,247049439.69990,0
1710341100000,72617.80,72649.80,72235.00,72414.30,3482.619,1710341999999,252276396.46560,59004,1658.207,120126221.28970,0
1710342000000,72414.20,72738.00,72342.80,72734.60,3462.500,1710342899999,251129786.27260,60863,1779.513,129082070.47610,0
1710342900000,72734.50,73191.40,72632.20,72719.00,8054.815,1710343799999,587303592.18332,115748,4216.144,307425727.92052,0
